N_MC=300 seed=11 sigma=0.12 K=0.15 dt=0.08 N=192 H_floor=0.25
T_pers_sharp=1.6667
n t Rblur Rnoise_h Rh Rp Rneu mean_dR frac_pm_better Delta_noise R_int_major margin_blur_minus_Delta margin_vs_neu_int E_R_PM_minus_Rneu
12 0.96 0.001451 0.003059 0.004513 0.005252 0.003094 -0.000739 0.0667 0.002193 0.000078 -0.000741 +0.001338 +0.002157
13 1.04 0.001532 0.002888 0.004414 0.004934 0.002934 -0.000520 0.1567 0.002046 0.000091 -0.000514 +0.001395 +0.002000
14 1.12 0.001609 0.002731 0.004364 0.004541 0.002773 -0.000177 0.3933 0.001810 0.000106 -0.000201 +0.001461 +0.001768
15 1.20 0.001683 0.002702 0.004389 0.004343 0.002738 +0.000046 0.5500 0.001640 0.000121 +0.000042 +0.001526 +0.001605
16 1.28 0.001753 0.002549 0.004293 0.004023 0.002584 +0.000270 0.7300 0.001474 0.000138 +0.000279 +0.001580 +0.001439
17 1.36 0.001820 0.002530 0.004381 0.003891 0.002566 +0.000490 0.8700 0.001361 0.000156 +0.000459 +0.001628 +0.001325
18 1.44 0.001885 0.002455 0.004340 0.003713 0.002493 +0.000627 0.9133 0.001258 0.000175 +0.000627 +0.001672 +0.001220
19 1.52 0.001947 0.002368 0.004350 0.003573 0.002407 +0.000777 0.9533 0.001205 0.000195 +0.000742 +0.001713 +0.001166
20 1.60 0.002008 0.002289 0.004335 0.003359 0.002330 +0.000976 0.9833 0.001070 0.000216 +0.000937 +0.001750 +0.001029
21 1.68 0.002066 0.002299 0.004361 0.003270 0.002339 +0.001091 0.9900 0.000971 0.000238 +0.001095 +0.001789 +0.000931
22 1.76 0.002123 0.002207 0.004304 0.003111 0.002248 +0.001193 0.9900 0.000904 0.000261 +0.001219 +0.001821 +0.000863
